ticker,method,n_trades_total,win_rate_total,cumulative_return_total,max_drawdown_total,n_trades_is,win_rate_is,cumulative_return_is,max_drawdown_is,n_trades_oos,win_rate_oos,cumulative_return_oos,max_drawdown_oos,n_confirmed,n_not_confirmed,cumulative_confirmed,cumulative_not_confirmed
CRES_MEP,EMA_12_26,34,0.38235294117647056,-0.20745546554575822,-0.6359410075703086,22,0.36363636363636365,-0.36407918601920486,-0.6359410075703086,12,0.4166666666666667,0.2462943766425867,-0.24516513911620313,23,11,-0.6761233883806189,1.4470570149895154
CRES_MEP,SMA_10_50_100,21,0.2857142857142857,-0.8188767458072782,-0.8391056796034245,14,0.21428571428571427,-0.7782973956202192,-0.8030584751758008,7,0.42857142857142855,-0.18303506312242446,-0.4122388879800366,8,13,-0.39999416579100566,-0.6981308449583626
CRES_MEP,B&H,1,1.0,2.225294117647059,0.0,1,1.0,1.3723529411764706,0.0,1,1.0,0.365,0.0,0,0,,
EDN_BA,HMA16,82,0.3902439024390244,20.565365908779256,-0.37960351130065656,58,0.39655172413793105,13.44383735215104,-0.2804539820608504,24,0.375,0.49304962268684394,-0.3796035113006566,51,30,24.34467821547475,-0.08930729806077775
EDN_BA,EMA_12_26,43,0.4883720930232558,11.331193768208399,-0.5172141376488808,32,0.5625,10.003585503276518,-0.2526758785440274,11,0.2727272727272727,0.12065233323597657,-0.5172141376488809,22,21,2.04872996466834,3.0446985830540285
EDN_BA,SMA_10_50_100,25,0.6,21.633655005139463,-0.24023488805970147,21,0.6190476190476191,14.326540427899005,-0.20298245614035093,4,0.5,0.47676216375218416,-0.24023488805970153,14,11,2.8918569885003134,4.815644067091248
EDN_BA,B&H,1,1.0,76.52488372093023,0.0,1,1.0,57.5946511627907,0.0,1,1.0,0.3235999999999999,0.0,0,0,,
EDN_MEP,HMA16,62,0.4032258064516129,1.3309575477915723,-0.5218934418897516,43,0.3953488372093023,1.154111981805026,-0.3365061892313226,19,0.42105263157894735,0.0820967375328181,-0.5218934418897517,43,19,1.4063531328237433,-0.0313318872461994
EDN_MEP,EMA_12_26,34,0.47058823529411764,0.6331216339608445,-0.5832955707815736,25,0.52,0.7347138411208864,-0.5832955707815736,9,0.3333333333333333,-0.0585642454402725,-0.48883988199373263,22,12,2.3150304514190116,-0.5073584819524719
EDN_MEP,SMA_10_50_100,19,0.42105263157894735,-0.17474455585565785,-0.40361410482521604,15,0.4,-0.25293723247154587,-0.3937552669614509,4,0.5,0.10466680982453047,-0.403614104825216,9,10,1.3368175390295378,-0.6468464352218684
EDN_MEP,B&H,1,1.0,5.87235294117647,0.0,1,1.0,4.7547058823529404,0.0,1,1.0,0.1961855670103092,0.0,0,0,,
GGAL_BA,HMA16,87,0.3793103448275862,2.975641429729342,-0.5174637556796822,59,0.4406779661016949,4.137188717384418,-0.30600107851315206,28,0.25,-0.22610562927625422,-0.5174637556796823,52,34,0.4326476021642889,1.8149088202632169
GGAL_BA,EMA_12_26,44,0.4090909090909091,7.7609719963493085,-0.4534514043673169,32,0.4375,6.467343757231919,-0.4534514043673169,12,0.3333333333333333,0.17323807248923595,-0.3969546295614361,32,12,0.4384054032358733,5.090752980098939
GGAL_BA,SMA_10_50_100,26,0.6538461538461539,15.71883612847057,-0.16731707317073177,21,0.6666666666666666,12.583108318215922,-0.1474776480488061,5,0.6,0.23085495136996093,-0.16731707317073172,15,11,9.031936723225392,0.6665611625882804
GGAL_BA,B&H,1,1.0,46.85729857819906,0.0,1,1.0,38.95840442338073,0.0,1,1.0,0.17823529411764705,0.0,0,0,,
GGAL_MEP,HMA16,77,0.37662337662337664,-0.18860359222829504,-0.5157290473157907,52,0.4230769230769231,0.14107870155241553,-0.50666148919384,25,0.28,-0.2889216084150764,-0.5157290473157908,46,31,-0.23190563834618838,0.05637594582084704
GGAL_MEP,EMA_12_26,35,0.4857142857142857,1.3880492818931018,-0.3519488105004101,26,0.46153846153846156,1.0227778141341686,-0.3519488105004101,9,0.5555555555555556,0.1805791348939052,-0.20573724993706327,19,16,1.9916458589256796,-0.2017607048079324
GGAL_MEP,SMA_10_50_100,21,0.42857142857142855,-0.044995492931818815,-0.4127991066607716,15,0.4,0.17449609277546196,-0.3304261047202456,6,0.5,-0.18688149501510753,-0.4127991066607715,14,7,-0.12735842825149346,0.09438346508595119
GGAL_MEP,B&H,1,1.0,3.1162135922330094,0.0,1,1.0,2.82495145631068,0.0,1,1.0,0.060528967254408046,0.0,0,0,,
